ImageID,LabelName1,LabelName2,ImageHeight,ImageWidth,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,ReferringExpression
new91,shade,lamp,480,640,361,385,88,110,2,68,43,256,shade on lamp
new93,glass,table,500,335,106,160,219,292,1,334,105,489,glass on table
new96,mug,table,500,375,140,207,341,405,1,368,339,480,mug on top of table
new97,newspaper,magazine,336,448,267,448,161,332,324,440,149,216,paper is on the magazine
new98,pizza slice,plate,375,500,331,456,156,283,270,500,165,322,pizza slice on the home base
new101,leaves,tree,600,800,180,253,90,183,91,400,2,349,leave are on tree
new104,car,window,600,800,80,748,139,501,284,355,169,262,car suffer a window
new105,car,street,600,800,289,481,159,309,339,792,212,596,car on the street
new106,construction worker,coveralls,600,800,513,579,312,496,524,553,342,490,construction doer wears coveralls
new107,sticker,chair,600,800,200,282,366,413,73,404,309,597,sticker is on death chair
new109,building,street,480,640,336,579,6,312,80,581,303,431,building on street
new111,turner,handle,600,800,7,345,75,190,5,143,125,155,turner sustain handle
new114,bag,strap,256,256,229,256,180,256,214,230,99,199,bag has slash
new115,man,couch,256,256,135,255,26,221,0,255,93,168,man posture on couch
new117,mirror,doors,600,800,99,215,69,488,1,259,25,538,mirror on threshold
new118,coffee table,floor,600,800,199,476,302,592,49,792,434,597,coffee tabular array is on floor
new119,door,room,600,800,648,797,8,254,14,796,0,592,door rack at room
new120,pillow,sofa,600,800,480,539,301,344,432,676,250,498,pillow exist on sofa
new121,book,shelves,600,800,531,645,68,179,165,674,25,532,book on the shelf
new123,lights,ceiling,600,800,529,798,4,185,271,732,9,52,lights on in ceiling
new125,window,building,600,800,202,271,274,421,94,462,13,598,windowpane of building
new129,sign,pole,600,800,392,423,94,164,419,430,40,311,augury on a pole
new130,plant,box,600,800,246,336,381,499,35,95,503,549,works in box
new131,leg,person,600,800,393,420,204,263,643,672,141,215,stage of person
new135,Girl ,Girl ,600,800,675,695,437,473,675,695,437,473,Girl break Girl
new136,archway,building,600,800,474,658,339,399,218,677,73,406,archway underneath building
new137,arrow,sign,600,800,668,683,196,232,662,693,189,237,arrow on signaling
new138,vest,man,600,800,283,300,441,466,280,302,430,499,vest on the human beings
new140,bike,bike,600,800,345,404,204,319,345,404,204,319,cycle leaned against bike
new142,bench,walkway,600,800,37,133,390,498,32,794,338,599,bench on walk
new143,lady,crosswalk,600,800,1,98,312,597,3,464,322,608,gentlewoman in crosswalk
new144,boat,water,600,800,203,609,316,510,2,683,235,598,boat in water supply
new145,light poles,street,600,800,5,71,198,382,54,258,386,469,light celestial pole in street
new146,yellow reflector,yellow reflector,600,800,413,433,321,365,413,433,321,365,yellow reflector is on the back of yellow reflector
new148,shirt,door,600,800,99,153,147,285,83,166,6,433,shirt is hanging in the door
new151,Spoon,table,600,800,222,297,389,433,55,798,329,538,Spoonful on table
new155,spatula,handle,480,640,524,638,281,309,566,641,283,301,spatula make handle
new158,wall,building,426,568,157,220,118,169,9,547,5,366,wall on construction
new160,woman,robe,240,320,21,117,57,209,27,92,106,212,woman wearing gown
new162,Kiwi,plate,480,640,334,470,44,264,139,504,22,392,Kiwi on a plate
new166,car,building,365,400,87,216,346,365,2,394,2,365,car is in strawman of building
new167,man,overalls,291,400,11,98,7,291,15,85,57,282,adult male wearing overalls
new168,woman,shirt,800,600,287,436,181,697,287,437,203,415,woman be wearing a shirt
new170,bottle,shelf,600,800,609,634,222,273,602,783,265,290,nursing bottle on shelf
new171,car,fence,600,800,228,465,56,262,4,798,6,308,car park behind fence
new174,building,window,594,800,0,793,8,583,333,662,121,324,building has windowpane
new175,sign,numbers,604,800,164,276,293,326,184,205,296,321,sign has numeral
new176,pavers,walkway,600,800,14,197,519,596,26,705,437,597,pavers on paseo
new182,rug,floor,512,340,1,81,422,509,2,95,401,507,rug on base
new186,grapes,plate,600,450,202,300,411,487,146,316,400,530,grapeshot on plate
new187,wine holder,floor,800,640,572,637,491,640,10,634,586,795,vino holder on floor
new189,clouds,clouds,415,800,2,797,0,57,2,797,0,57,clouds on the visible horizon clouds
new191,trees,hills,412,550,189,384,40,136,16,456,104,181,trees on mound
new192,sign,arrow,312,508,212,235,156,168,214,235,158,165,sign has pointer
new193,auditorium,chair,480,640,1,638,2,480,367,432,328,399,auditorium have got chair
new194,tree,ground,330,504,125,284,15,256,277,329,276,315,sir herbert beerbohm tree on ground
new196,mirror,wall,576,432,329,374,387,413,324,400,354,468,mirror hanging on wall
new198,balcony,house,300,400,11,79,120,163,12,364,46,244,balcony on the theater
new199,fork,plate,375,500,251,342,196,374,222,498,82,373,fork is on plate
new200,tray,table,306,500,27,474,78,297,7,498,36,301,tray on table
new201,line,road,600,800,443,464,361,398,228,536,415,575,line on road
new202,building,window,600,800,1,510,200,326,273,315,275,308,building has windowpane
new203,car,street,600,800,333,799,388,596,333,799,388,596,car on the street
new205,building,trim,600,800,590,798,3,477,598,798,217,239,building with shipshape
new206,tree,lawn,600,800,612,751,374,505,2,798,476,599,tree diagram is planted on lawn
new209,frame,wall,800,600,136,216,239,307,134,256,193,469,frame hangs bulwark
new211,intersection,wooden logs,259,384,232,274,125,158,186,367,138,169,intersection of wooden log
new213,rocks,driveway,244,400,60,280,179,238,1,390,188,243,rocks are sit in the driveway
new214,light,building,800,600,241,402,256,400,1,300,4,799,light represent attached to building
new215,wall,building,600,800,533,800,8,363,473,798,7,376,wall on construction
new216,lamp,lamp shade,425,512,1,65,144,288,3,62,142,207,lamp in lamp shade
new218,window,building,600,800,683,720,92,201,479,757,78,374,windowpane on building
new219,fruit,display,600,800,576,749,340,460,130,798,339,596,fruit live at display
new220,man,shorts,270,408,74,184,122,228,78,126,158,191,man in shorts
new223,pattern,carpet,600,422,244,296,547,568,84,421,460,598,pattern on rug
new224,car,four doors,600,800,180,411,292,366,231,347,298,363,car has four spot doors
new226,fruit,tree,600,800,113,130,232,245,3,230,147,398,fruit follow on tree
new227,windows,lights,600,800,2,250,2,422,31,202,117,246,windows speculate lights
new228,vase,flowers,480,640,285,317,276,334,250,359,198,277,vase holding flowers
new229,window,building,600,800,377,394,315,350,3,759,121,449,windowpane on building
new230,bottle,wine,334,500,35,88,25,231,76,97,94,200,bottle of wine colored
new231,sign,stone wall,600,800,622,658,410,453,3,796,385,501,augury on stone wall
new233,drawer,drawer,267,400,113,156,185,209,113,156,185,209,draftsman under counter drawer
new234,pole,grass,600,800,474,497,275,570,195,800,491,599,pole in grass
new235,sticker,lapel,480,640,186,216,210,242,151,257,113,372,sticker is attached to lapel
new236,cars,road,600,800,1,726,450,545,11,711,496,594,cars on the route
new241,seasoning,chicken,480,640,280,352,142,281,260,374,102,282,flavour on chicken
new243,door,taxi,800,533,181,229,261,324,322,530,560,761,door on taxicab
new244,candles,table,555,800,194,231,337,353,169,286,330,396,candles on mesa
new246,window,building,600,800,556,598,267,310,152,673,43,468,windowpane of building
new249,pillow,couch,600,800,318,432,231,296,151,535,226,380,pillow on cover of couch
new251,tinroof,porch,600,800,2,196,191,258,25,201,235,408,tinroof on porch
new252,lantern,mine,263,350,283,303,41,81,1,350,1,263,lantern in mine
new253,car,on the road,600,800,17,333,365,490,4,795,468,597,car consume left tire on the route
new255,skybox,a building,800,600,474,551,268,302,468,551,272,325,skybox be on top of a building
new256,shadow,street,600,800,0,384,316,460,4,333,306,598,shadow is on street
new258,monitor,desk,600,800,200,345,236,365,117,770,316,599,monitor equal on desk
new259,crib,leg,442,590,419,536,270,429,521,534,329,429,crib has leg
new260,ear,earring,480,640,166,202,222,324,186,197,302,318,ear has earring
new261,Licenseplate,car,600,800,224,246,373,382,201,281,347,399,Licenseplate attached to car
new263,window,brick house,299,400,84,129,103,155,1,400,68,177,window is in brick house
new264,sign,man,600,800,692,797,350,442,739,793,357,427,sign get man
new266,walkway,Cracks,600,800,5,794,404,597,205,551,538,579,paseo has Cracks
new269,sign,barrel,600,800,689,718,241,275,679,727,280,353,sign on barrelful
new272,boat,body of water,480,640,492,518,295,316,3,638,280,479,boat on the body of water
new273,women,jeans,600,800,126,192,384,554,141,179,450,516,women wear out jeans
new274,fountain,courtyard,600,800,42,304,339,507,8,801,427,554,natural spring is in courtyard
new275,stained glass,church,600,800,371,405,319,389,165,691,179,408,stained glass windowpane in church
new278,picture,wall,600,800,603,652,96,148,1,800,0,433,motion picture hanging on the wall
new279,building,window,600,800,1,800,153,400,420,451,258,313,building has windowpane
new283,wall,building,600,800,2,331,5,311,3,336,3,300,paries on side of building
new284,sign,letters,800,600,505,597,586,618,532,591,592,612,house has letters
new287,church,steeple,800,600,293,377,190,571,312,365,186,309,church make steeple
new288,window,building,600,800,14,144,124,209,3,798,0,317,window on the construction
new290,tire,suv,600,800,718,768,282,379,313,766,245,445,tire on the spine of the sport utility vehicle
new291,awning,house,300,400,144,255,181,209,88,326,38,265,awning on house
new292,lady,stairs,375,500,285,306,72,114,2,499,0,373,madam walking down stairs
new294,car,tree,600,800,0,140,293,435,322,460,9,304,car is near tree diagram
new297,shadow,grass,600,800,2,795,435,598,3,799,403,540,trace on grass
new301,window,building,600,800,53,121,102,234,2,456,0,422,window on a edifice
new302,window,building,600,800,227,259,235,291,63,800,0,440,window on the edifice
new303,woman,street,600,800,653,716,393,524,18,800,406,599,woman is walking across street
new304,woman ,jacket,600,800,46,83,382,481,40,83,387,430,woman wear down jacket
new305,woman,blouse,600,800,322,366,336,440,320,368,352,391,woman endure a blouse
new307,car,street,600,800,479,669,349,420,2,799,402,598,car in street
new308,person,dog,600,800,441,471,272,374,551,569,335,380,person walk dog
new309,person,street,600,800,579,606,346,405,2,791,404,591,mortal in street
new310,windshield,truck,600,800,19,199,323,411,4,306,317,566,windscreen of truck
new311,car,road,600,800,389,703,278,458,2,376,341,590,auto on road
new312,pipes,car,600,800,278,326,255,287,4,437,66,287,piping on car
new313,window,building,600,800,429,440,321,370,364,797,75,490,window in construction
new314,woman,bag,600,800,53,107,354,472,44,72,416,448,woman be carrying bag
new315,minivan,minivan,600,800,9,684,274,576,9,684,274,576,minivan parked minivan
new316,lines,pavement,600,800,77,463,484,536,78,451,477,553,line on pavement
new317,cars,building,600,800,35,794,369,473,6,775,4,434,cars near construction
new319,bicycle,post,600,800,77,222,441,527,109,186,441,525,bicycle lean against post
new320,dirt,sidewalk,600,800,1,92,436,460,5,793,358,598,dirt in sidewalk
new321,traffic light,corner,600,800,105,182,186,500,3,414,407,520,traffic light stand on corner
new322,brick,ground,600,800,230,287,566,587,1,794,249,594,brick in earth
new323,man,man,600,800,469,560,237,422,469,560,237,422,man is carrying newspaper publisher man
new324,line,road,600,800,334,559,347,358,4,800,251,589,demarcation on road
new325,person ,sidewalk,600,800,311,365,260,367,3,318,321,371,person stand on sidewalk
new326,woman,coat,600,800,309,378,240,413,532,590,278,335,cleaning lady wearing coat
new327,bicycle,sidewalk,600,800,6,160,413,427,68,692,241,598,bicycle park on sidewalk
new328,writing,whiteboard,480,640,2,172,18,192,22,247,12,195,writing on whiteboard
new329,cord,outlet,480,640,458,533,392,478,509,533,394,444,cord inside of outlet
new330,bottle ,lid,480,640,503,539,223,298,513,531,221,238,bottle with lid
new331,monitor,cabinet,480,640,441,584,8,142,445,594,121,368,monitor is above locker
new332,divider,desks,480,640,220,597,31,240,36,599,250,477,divider between desk
new333,sugar,bowl,600,800,67,117,445,463,27,133,416,476,wampum in bowl
new334,coffee maker,counter,600,800,107,672,80,484,355,792,384,598,coffee maker on top of counter
new335,screen,monitor,600,800,409,694,102,331,381,730,76,391,screen of monitoring device
new336,router,monitor,600,800,356,446,164,230,432,678,14,232,router behind monitor
new337,wall,building,600,800,429,536,238,287,386,797,3,413,wall on construction
new338,window,building,600,800,132,141,321,335,1,209,235,377,window on a building
new340,window ,building,600,800,783,796,99,141,614,794,44,268,window on a edifice
new341,motorbike,road,600,800,150,180,382,446,2,800,350,598,motorbike on the route
new343,man,sidewalk,480,640,320,390,196,423,239,638,235,480,man on the pavement
new344,woman,purse,480,640,141,234,214,444,144,164,292,315,adult female with purse
new345,boy,shirt,480,640,585,619,141,234,587,617,149,177,male child wearing shirt
new346,people,street,480,640,299,399,262,339,184,372,337,354,people cross street
new347,map,wall,450,600,54,125,132,341,4,100,0,444,map personify leaning against the wall
new349,light,ceiling,800,541,434,455,117,131,2,539,0,250,light on ceiling
new352,pumpkin,front porch,600,800,369,436,228,302,284,700,266,315,pumpkin sitting on front porch
new353,pumpkin ,face,600,800,353,437,219,283,366,418,226,269,pumpkin vine has face
new354,woman,cellphone,600,800,17,117,297,510,23,37,385,396,fair sex texting on cellphone
new355,woman,skirt,600,800,136,234,338,599,140,227,472,569,woman be wearing skirt
new356,people,sidewalk,600,800,192,358,313,480,162,359,488,588,people on sidewalk
new357,building,window,600,800,155,504,0,387,323,341,11,48,edifice has window
new358,computer tower,floor,600,800,702,799,395,591,1,799,390,597,computer tugboat on top of floor
new359,computer,monitor,600,800,74,250,230,447,314,534,206,404,computer possess monitor
new360,computer tower,desk,600,800,597,670,259,356,283,766,366,598,estimator tower on top of desk
new361,woman,car,600,800,201,393,376,593,22,419,403,592,woman WALKING BY elevator car
new362,stop sign,pole,600,800,261,445,103,287,354,367,284,596,stop sign is on acme of pole
new363,light,pole,600,800,4,29,524,599,12,605,56,598,light on pole
new364,flags,poles,600,800,101,249,0,187,85,246,7,524,flags are on the pole
new365,man,man,600,800,431,550,331,519,431,550,331,519,humankind next to man
new366,light,pole,600,800,336,449,5,236,333,438,233,600,light on pole
new367,man,ROAD,600,800,467,582,315,542,581,665,491,579,human WALKING ACROSS ROAD
new368,sign,gate 2,600,800,732,760,276,300,735,755,280,300,sign says gate two
new369,clock,window,600,800,376,440,150,214,319,560,0,212,clock sit in the window
new370,trash can,book shelf,600,800,494,568,438,558,549,780,106,528,trash can next to book ledge
new371,mouse ,keyboard,600,800,302,363,427,487,384,692,392,492,mouse future to keyboard
new373,bookshelf,computer,600,800,336,427,1,195,226,299,90,132,bookshelf next to computer
new374,monitor,desk,600,800,288,615,106,378,564,749,420,593,monitor on desk
new375,mug,handle,600,800,295,572,131,433,282,363,206,359,gull has handle
new377,blinds,window,600,800,128,348,4,273,128,357,4,295,blinds on window
new378,headphones,desk,600,800,499,535,316,335,157,559,290,488,headphones on desk
new379,microwave,counter,600,800,98,354,123,379,21,708,326,526,microwave on counter
new380,clock,wall,600,800,321,365,92,140,4,433,8,454,clock on wall
new381,keyboard,computer ,600,800,178,592,420,550,160,694,40,546,keyboard of computing device
new382,mug,desk,600,800,391,441,347,397,152,681,320,441,countenance on desk
new383,keyboard,computer,600,800,493,622,39,112,493,621,78,319,keyboard on the data processor
new384,man,monitor,600,800,369,706,90,599,133,275,112,340,man in front of monitor
new385,boy,glasses,600,800,45,417,45,567,164,261,105,145,boy eating away glasses
new386,man,hair,600,800,334,707,95,540,473,641,95,244,military man has hair
new387,woman,glasses,800,600,132,376,78,799,204,297,130,165,charwoman is wearing glasses
new388,drawer,desk,600,800,40,242,474,546,2,796,266,594,drawer on the desk
new389,office chair,casters,600,800,264,537,334,537,313,471,566,599,office electric chair on casters
new390,man,computer,600,800,207,793,43,598,205,470,41,347,human being on computer
new391,bicycle,building,600,800,25,53,257,297,1,34,2,289,bicycle embody near building
new392,poster,window,375,500,290,400,1,133,1,274,1,242,poster following to window
new393,woman,couch,404,646,426,519,252,368,384,590,260,374,woman sitting on couch
new394,brick,canvas,800,600,346,415,556,598,308,421,362,608,brick on canvass
new395,fence,car,600,800,261,799,284,429,259,667,260,477,fencing next to car
new396,man,sunglasses,334,500,284,376,90,289,298,327,113,132,man is wearing sunglass
new397,pole,arm,600,800,695,711,60,365,504,725,68,81,pole have arm
new398,flag,roof,600,800,285,384,1,158,31,799,1,365,flag hanging from roof
new399,shoe,foot,207,300,79,104,148,166,79,104,148,166,brake shoe on foot
new400,person,scooter,600,800,602,677,322,474,545,742,326,494,person be riding a scooter
new401,building,bricks,600,800,419,798,0,454,461,719,23,324,construction has bricks
new402,table,sidewalk,600,800,182,259,453,544,160,800,370,599,table is on sidewalk
new403,refrigerator,floor,600,800,159,326,380,544,114,799,515,599,refrigerator on floor
new405,monitor,desk,600,800,549,614,242,298,278,635,304,431,varan on desk
new406,tire,desk,600,800,237,345,382,506,235,349,325,451,tire penny pinching the desk
new407,cap,soda bottle,600,800,490,504,345,359,476,511,345,420,cap on soda pop bottle
new409,mug,table,600,800,372,422,413,463,1,731,363,592,mug on mesa
new410,bartender,bow tie,256,256,101,170,74,163,125,142,104,111,bartender wearing bow draw
new411,plant,piano,256,256,97,248,7,165,123,253,127,256,plant beside piano
new412,boy,hair,256,256,2,255,0,254,57,221,1,119,boy cause hair
new413,girl,cuff,256,256,20,88,89,212,45,77,161,195,girl wear upon cuff
new414,neck,woman,256,256,158,177,76,97,9,213,26,254,neck of woman
new415,girl,table,256,256,1,254,188,255,4,256,221,253,girl sitting at board
new416,woman,restaurant,256,256,2,256,2,253,19,223,7,247,woman standing in eating house
new417,woman,table,256,256,3,222,148,248,8,196,140,217,woman seated at board
new418,woman,dark hair,256,256,2,140,8,253,46,102,14,36,char with dark hair
new419,collar,woman,256,256,93,117,121,171,22,135,47,256,choker on the woman
new420,man,chair,600,800,86,164,271,375,71,133,296,363,man in chair
new421,traffic signal,pole,600,800,255,296,204,298,275,285,274,459,traffic sign attached to a pole
new422,white line,road,600,800,402,604,434,468,2,799,398,599,white line is on a road
new423,truck ,car,600,800,438,726,282,477,55,343,295,442,truck behind automobile
new424,woman,skirt,600,800,270,344,401,590,277,322,480,518,fair sex is wearing a skirt
new425,masts,sailboats,600,800,169,799,6,343,154,789,190,598,masts of sailboats
new427,car,street,600,800,2,170,273,523,2,801,283,598,car on street
new429,door,car,600,800,380,458,281,375,303,603,277,397,door of machine
new430,woman,sidewalk,534,800,55,147,259,531,147,232,288,526,cleaning woman in sidewalk
new431,man,orange,534,800,324,366,49,87,292,349,98,138,man eating orangeness
new432,wall,building,534,800,4,161,105,382,4,161,105,382,wall on side of building
new435,car ,road,600,800,15,76,243,280,149,629,293,595,elevator car on road
new436,man,sidewalk,600,800,94,155,328,472,4,223,397,539,human beings walking on sidewalk
new437,railing,scooter,600,800,1,305,310,449,566,703,317,458,railing in front of ice yacht
new438,tree,writing,600,800,183,302,3,463,204,252,174,250,sir herbert beerbohm tree has writing
new440,man,kiosk,600,800,635,692,240,501,269,776,47,582,man outside cubicle
new441,woman,food,600,800,239,381,232,391,256,459,387,477,womanhood is selling food
new442,skull,wall,800,600,274,353,189,357,460,536,547,616,skull attached to wall
new443,man,crowd,600,800,461,582,353,598,0,797,299,595,man in a large crowd
new444,woman,shawl,600,800,115,333,125,469,149,354,215,351,woman has shawl
new445,road,sidewalk,600,800,488,514,423,481,352,800,437,561,road in pavement
new446,pot,basket,600,800,671,735,479,565,619,662,468,542,pot in basketful
new447,man,jacket,600,800,620,717,359,564,618,717,381,490,man is wearing crown
new448,wall,building,600,800,2,628,1,293,5,665,0,425,wall on building
new450,baseball cap,man,600,800,168,208,298,315,146,230,294,527,baseball cap on man
new451,suv,street,600,800,632,801,424,599,3,798,497,598,sport utility vehicle in the street
new452,oranges,oranges,600,800,479,796,329,502,479,796,329,502,oranges piled orangeness
new453,batch,flowers,600,800,372,551,248,446,373,541,235,440,batch have flowers
new454,Tapestry,wall,600,800,85,664,4,426,2,798,1,465,Tapestry hang on wall
new455,building,building,600,800,555,725,476,502,555,725,476,502,building future to building
new456,building,apartment,600,800,472,615,131,412,533,551,190,211,construction has apartment
new457,photo,photo,600,800,41,796,8,598,41,796,8,598,photo taken during the daylight photo
new459,car,road,600,800,387,464,341,403,4,549,349,599,railcar on road
new460,window,building,600,800,642,725,111,156,324,771,16,374,window on building
new461,plate,car,600,800,356,376,361,375,329,445,342,408,denture on the car
new462,hydrant,sidewalk,600,800,251,280,393,450,1,408,422,486,hydrant is on the sidewalk
new463,window,building,600,800,186,216,82,116,147,262,11,249,window is on edifice
new464,car,building,600,800,365,469,277,360,227,527,64,314,car on building
new465,man,shirt,600,800,641,721,296,465,655,708,322,358,humanity in shirt
new466,bull,sand,600,800,222,579,25,494,2,799,260,588,bull on gumption
new468,people,cannons,333,359,29,336,78,142,1,278,132,246,people close cannons
new469,mark,sidewalk,600,800,47,91,434,464,1,654,343,484,mug on sidewalk
new470,chair,wood,600,800,179,273,417,596,160,186,450,461,chairman made of wood
new471,building,roof,600,800,23,181,158,275,20,182,160,207,building with a roof
new472,windows,building,600,800,567,607,402,439,571,799,341,598,windows on building
new473,utensil,bowl,600,800,409,539,341,479,349,558,379,487,utensil in arena
new474,outlet,wall,600,800,716,732,377,413,567,799,3,532,outlet on wall
new475,window,door,600,800,409,444,351,395,399,451,342,449,window in door
new476,shadow,shadow,600,800,471,799,442,575,471,799,442,575,shadow on shadow
new477,van,road,600,800,235,329,257,288,1,800,289,599,van drive on the road
new478,bus,road,600,800,205,477,339,465,191,313,493,569,passenger vehicle on road
new479,logo,truck,600,800,234,315,362,387,93,453,259,494,logo on truck
new480,water,beach,600,800,542,799,349,441,14,290,360,531,water along beach
new481,person,water,600,800,64,88,349,384,5,799,83,453,person on water
new482,person,steps,600,800,270,301,286,323,80,481,320,348,person on footstep
new483,man,hat,600,800,535,710,195,508,571,654,192,273,serviceman is wearing a hat
new484,crowd,people,600,800,129,796,36,474,300,413,168,475,crowd of people
new485,clouds,the sky,600,800,683,761,34,87,448,517,34,82,cloud in the sky
new486,bike,fence,600,800,418,590,382,473,418,590,305,473,bike near fencing
new487,building,banners,600,800,80,625,162,411,159,706,214,354,building with banners
new488,table cloth,table ,600,800,66,335,421,471,67,332,417,511,table cloth on table
new490,paper,paper,600,800,130,198,72,148,130,198,72,148,paper be on a paper
new491,curtain,window,600,800,657,793,43,597,571,798,19,593,curtain on window
new492,a wall,a building,600,800,683,761,34,87,448,517,34,82,a rampart on the position of a building
new493,picture,wall,600,800,553,697,75,198,276,798,1,446,picture on the wall
new494,menu,dresser,600,800,375,572,421,498,191,603,377,598,carte du jour on dresser
new495,curtain,chair,600,800,445,625,14,278,330,698,184,550,curtain behind chair
new496,tv,desk top,600,800,59,218,177,329,46,274,309,415,video is on the desk top
new497,a wall,a building,800,600,445,549,45,116,130,222,45,108,a bulwark on the side of a building
new498,knob,cabinet,800,600,180,200,564,593,124,265,540,615,knob on locker
new499,remote,table,600,800,319,417,342,487,277,800,251,598,remote control is on top of table
new500,tray,coffee maker,600,800,362,774,317,598,480,762,74,387,tray is nether coffee maker
new501,cord,floor,600,800,643,747,418,472,1,789,407,599,cord on trading floor
new502,pamplet,bedspread,600,800,296,400,244,317,226,618,343,535,pamplet on counterpane
new503,bottle,table,600,800,350,385,252,324,34,796,284,599,bottle equal on top of table
new504,bottle,water,600,800,0,44,132,253,2,22,165,236,nursing bottle has water
new506,lamp,corner,600,800,397,466,139,224,409,489,35,227,lamp in corner
new508,soap,dish,600,800,201,254,357,372,191,282,343,399,soap is on top top dish
new509,chair,desk,600,800,236,471,271,582,79,438,236,456,chair is next to desk
